2025-09-19 22:44:16 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:17 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:19 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:19 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:20 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:21 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:21 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:21 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:21 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:22 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:22 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:22 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:22 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:23 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:23 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:24 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:24 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:24 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:24 | features=[0, 0, 0, 90, 85, 0.44890064092034615, 12] | ML=1 [0.457, 0.527, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:25 | features=[0, 0, 0, 88.5, 82.5, 0.44890064092034615, 12] | ML=1 [0.433, 0.55, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:26 | features=[0, 0, 0, 87, 80, 0.44890064092034615, 12] | ML=1 [0.433, 0.55, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:26 | features=[0, 0, 0, 87, 80, 0.44890064092034615, 12] | ML=1 [0.433, 0.55, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:26 | features=[0, 0, 0, 85.5, 77.5, 0.44890064092034615, 12] | ML=1 [0.433, 0.55, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:27 | features=[0, 0, 0, 84, 75, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:27 | features=[0, 0, 0, 82.5, 72.5, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:28 | features=[0, 0, 0, 81, 70, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:28 | features=[0, 0, 0, 81, 70, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:29 | features=[0, 0, 0, 79.5, 67.5, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:29 | features=[0, 0, 0, 78, 65, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:29 | features=[0, 0, 0, 78, 65, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:30 | features=[0, 0, 0, 76.5, 62.5, 0.44890064092034615, 12] | ML=1 [0.407, 0.577, 0.017] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:30 | features=[0, 0, 0, 75, 60, 0.44890064092034615, 12] | ML=1 [0.403, 0.577, 0.02] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:31 | features=[0, 0, 0, 73.5, 57.5, 0.44890064092034615, 12] | ML=1 [0.397, 0.577, 0.027] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:31 | features=[0, 0, 0, 73.5, 57.5, 0.44890064092034615, 12] | ML=1 [0.397, 0.577, 0.027] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:32 | features=[0, 0, 0, 72, 55, 0.44890064092034615, 12] | ML=1 [0.283, 0.577, 0.14] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:32 | features=[0, 0, 0, 70.5, 52.5, 0.44890064092034615, 12] | ML=1 [0.283, 0.577, 0.14] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:32 | features=[0, 0, 0, 70.5, 52.5, 0.44890064092034615, 12] | ML=1 [0.283, 0.577, 0.14] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:33 | features=[0, 0, 0, 69, 50, 0.44890064092034615, 12] | ML=1 [0.283, 0.577, 0.14] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:33 | features=[0, 0, 0, 67.5, 47.5, 0.44890064092034615, 12] | ML=1 [0.277, 0.577, 0.147] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:33 | features=[0, 0, 0, 67.5, 47.5, 0.44890064092034615, 12] | ML=1 [0.277, 0.577, 0.147] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:34 | features=[0, 0, 0, 66, 45, 0.44890064092034615, 12] | ML=1 [0.1, 0.5, 0.4] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:35 | features=[0, 0, 0, 64.5, 42.5, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:35 | features=[0, 0, 0, 64.5, 42.5, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:35 | features=[0, 0, 0, 63, 40, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:36 | features=[0, 0, 0, 61.5, 37.5, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:36 | features=[0, 0, 0, 60, 35, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:36 | features=[0, 0, 0, 60, 35, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
